epochs,times,ttvs,times_low_err,times_high_err
0,277.5056257988101,-1.1168081134110253,0.0003834518343523996,0.0003985680264122493
1,438.38774246957735,-3.95551062375489,0.00042516424377936346,0.00043413539287939784
3,760.1546027837927,-5.850074984027742,0.0004640669581021939,0.0004772160081074617
4,921.0457631975798,4.334212454450608,0.00040265470784106583,0.00041640858273694903
5,1081.9294375937768,3.738634562760126,0.00043193799433538516,0.0004291004468086612
6,1242.808990175689,-2.7923558988186414,0.0003608421857279609,0.00035939720396527264
7,1403.7018513418088,9.84101489855675,0.0004157532155204535,0.0004119817022001371
8,1564.5776125239536,-2.149591228007921,0.0003733396624738816,0.00036098159034736454
29,4943.138519374927,-9.264602545736125,0.003365006923559122,0.003282756337284809
31,5264.918025385594,7.0506359852151945,0.0015941738620313117,0.001595375044416869
